object_id,route_id,geom
1416,9928,POINT (-122.444895370093 37.7228063010776)
1940,5394,POINT (-122.443677624659 37.760720637905)
4730,2539,POINT (-122.412247524719 37.7526313475598)
4724,4841,POINT (-122.417070342927 37.7490816425529)
4870,1336,POINT (-122.504366173137 37.7372180814598)
4864,1312,POINT (-122.433493795344 37.7992818416222)
4745,4204,POINT (-122.401505571285 37.7870326615216)
4852,15035,POINT (-122.439123248002 37.798156943772)
4739,5732,POINT (-122.404339997076 37.7902892691603)
4867,14947,POINT (-122.475925911884 37.7374654295705)
4727,12926,POINT (-122.413323828957 37.7501679253257)
4861,8858,POINT (-122.438612471419 37.7995446948665)
5013,2261,POINT (-122.416998824181 37.7843651003123)
4733,8538,POINT (-122.416270990329 37.801985032685)
4748,6582,POINT (-122.390910517315 37.7851414841518)
4855,4103,POINT (-122.442236219165 37.7968599983842)
4858,6528,POINT (-122.442584097076 37.798563889392)
4983,12646,POINT (-122.421156351182 37.7886138530119)
5019,4281,POINT (-122.422570632658 37.7832021153035)
4784,11120,POINT (-122.437183287167 37.7438866019556)
4769,15900,POINT (-122.44059896466 37.7224434852604)
4915,12552,POINT (-122.404921773912 37.783192543165)
4757,7936,POINT (-122.431715221555 37.7253161799489)
1375,12592,POINT (-122.389675884242 37.7361727391982)
4766,10868,POINT (-122.437191247466 37.7227597634942)
5046,12522,POINT (-122.428912584242 37.7324181700636)
4891,6168,POINT (-122.422732020957 37.76226549564)
5031,13945,POINT (-122.416643128957 37.7676822479591)
4772,10398,POINT (-122.439314492839 37.7264834045336)
4760,12873,POINT (-122.432289903286 37.7224374779527)
5043,13127,POINT (-122.4247664046 37.7575147956773)
4763,385,POINT (-122.434873809286 37.7226004201894)
4781,4716,POINT (-122.440890263883 37.74532142535)
4924,8514,POINT (-122.408408327226 37.782082763936)
5073,15723,POINT (-122.427541981197 37.7243896395541)
3498,14839,POINT (-122.4036760726 37.7263554271657)
3495,7956,POINT (-122.4081293726 37.7265274132411)
1649,3706,POINT (-122.42426416824 37.7915410114839)
5058,2313,POINT (-122.399378441376 37.7510154904627)
3492,863,POINT (-122.406382943048 37.7316134368699)
5064,4196,POINT (-122.412646047404 37.7880608361727)
5061,12406,POINT (-122.405993522838 37.7472505222315)
4817,13658,POINT (-122.407349622867 37.7722669268781)
3489,11254,POINT (-122.423930549794 37.7244760563765)
3221,1367,POINT (-122.409481244419 37.7891296686355)
1387,890,POINT (-122.469235857793 37.7592275984443)
5070,6853,POINT (-122.420616664659 37.7772014113481)
2191,15943,POINT (-122.405260062031 37.799044716283)
3248,14172,POINT (-122.449031964451 37.7181025334723)
5091,15020,POINT (-122.40491478351 37.7916292649933)
5097,6628,POINT (-122.404190230807 37.7959384178228)
4966,9868,POINT (-122.408840926449 37.7793193805502)
4820,1711,POINT (-122.405142302002 37.7740445548361)
5085,8423,POINT (-122.432911576837 37.8008106887725)
4960,497,POINT (-122.418800176061 37.7667677032143)
4823,13655,POINT (-122.409478202629 37.7706245922259)
2197,17068,POINT (-122.417030832426 37.7113813768634)
4832,6044,POINT (-122.40807479214 37.774602751568)
5088,8174,POINT (-122.410577837673 37.7861916767383)
4835,14463,POINT (-122.433803419165 37.7968359748351)
4975,2955,POINT (-122.422312745077 37.7568602775379)
1566,11116,POINT (-122.397612957257 37.7361077651011)
3772,6543,POINT (-122.441483541919 37.7158957258892)
4847,9996,POINT (-122.43675386836 37.798413173272)
3769,2248,POINT (-122.389317183705 37.731162635484)
5082,5370,POINT (-122.415776996449 37.7859194569986)
4981,13941,POINT (-122.415768886629 37.7580814731223)
3775,1862,POINT (-122.448761996391 37.7102020211417)
