"Route ID:","Route Location:","X (Longitude)","Y (Latitude)"
8983,"07TH AVE BETWEEN IRVING ST AND JUDAH ST",-122.46410701,37.76319986
3120,"07TH AVE BETWEEN LAKE ST AND CALIFORNIA ST",-122.46569632,37.78573993
5291,"07TH ST BETWEEN BRANNAN ST AND TOWNSEND ST",-122.40243087,37.77243412
2020,"07th St BETWEEN Howard St AND Folsom St",-122.40861453,37.7773616
1134,"07TH ST BETWEEN IRWIN ST AND HUBBELL ST",-122.39703791,37.76813165
1136,"07TH ST BETWEEN MISSION ST AND HOWARD ST",-122.41066903,37.77899853
1106,"08th Ave BETWEEN Cabrillo St AND Fulton St",-122.46595094,37.77433482
1110,"08TH AVE BETWEEN CLEMENT ST AND GEARY BLVD",-122.46649478,37.781887
1075,"08TH AVE BETWEEN ORTEGA ST AND LINARES AVE",-122.46443991,37.75260912
12958,"08TH ST BETWEEN FOLSOM ST AND HARRISON ST",-122.40979114,37.77477198
12923,"08TH ST BETWEEN HOOPER ST AND WISCONSIN ST",-122.40005311,37.76699787
12961,"08TH ST BETWEEN HOWARD ST AND FOLSOM ST",-122.41133778,37.77600758
1063,"08TH ST BETWEEN MARKET ST AND MISSION ST",-122.4144423,37.77848016
1045,"09TH AVE BETWEEN 09TH AVE AND 09TH AVE",-122.46546338,37.74752739
1049,"09th Ave BETWEEN Balboa St AND Cabrillo St",-122.46715335,37.77615535
12920,"09th Ave BETWEEN End AND California St",-122.46783136,37.78560104
1060,"09th Ave BETWEEN Geary Blvd AND Anza St",-122.46742083,37.77991276
12920,"09TH AVE BETWEEN LAKE ST AND CALIFORNIA ST",-122.46783136,37.78560104
1046,"09TH AVE BETWEEN LINCOLN WAY AND IRVING ST",-122.46637655,37.76498083
13911,"09th Ave BETWEEN Pacheco St AND Alton Ave",-122.46539075,37.75065958
12921,"09TH AVE BETWEEN START: 1-99 BLOCK AND LAKE ST",-122.46790933,37.78668447
1020,"09TH ST BETWEEN BRYANT ST AND BRANNAN ST",-122.40776628,37.77067029
13001,"09TH ST BETWEEN FOLSOM ST AND HARRISON ST",-122.41134074,37.77355099
1022,"09TH ST BETWEEN HARRISON ST AND MCLEA CT",-122.40957999,37.77212928
13016,"09TH ST BETWEEN HOWARD ST AND FOLSOM ST",-122.41289413,37.77477836
13019,"09TH ST BETWEEN MISSION ST AND HOWARD ST",-122.4144421,37.7760156
12992,"10th Ave BETWEEN End AND California St",-122.46890722,37.78555175
1005,"10TH AVE BETWEEN JUDAH ST AND KIRKHAM ST",-122.46718741,37.76119627
1004,"10th Ave BETWEEN Kirkham St AND Lawton St",-122.46705715,37.7593311
14726,"10TH AVE BETWEEN PACHECO ST AND QUINTARA ST",-122.46640264,37.75000703
14697,"10TH ST BETWEEN HOWARD ST AND FOLSOM ST",-122.41359595,37.77342775
14698,"10TH ST BETWEEN MISSION ST AND HOWARD ST",-122.41563989,37.77505807
14685,"11TH AVE BETWEEN BALBOA ST AND CABRILLO ST",-122.46929395,37.77605784
14684,"11TH AVE BETWEEN CABRILLO ST AND FULTON ST",-122.46915969,37.77419103
14681,"11TH AVE BETWEEN JUDAH ST AND KIRKHAM ST",-122.46825589,37.76114938
14683,"11TH AVE BETWEEN LINCOLN WAY AND IRVING ST",-122.46851706,37.76488651
972,"11TH AVE BETWEEN MORAGA ST AND NORIEGA ST",-122.46786712,37.75555629
955,"11TH ST BETWEEN BURNS PL AND BURNS PL",-122.41420935,37.77201091
14662,"11TH ST BETWEEN MISSION ST AND HOWARD ST",-122.4168399,37.77411577
923,"12th Ave BETWEEN Balboa St AND Cabrillo St",-122.47036543,37.77600902
927,"12th Ave BETWEEN California St AND Clement St",-122.47091374,37.78358844
891,"12TH AVE BETWEEN JUDAH ST AND KIRKHAM ST",-122.46932749,37.76110235
890,"12TH AVE BETWEEN KIRKHAM ST AND LAWTON ST",-122.46919709,37.75923729
906,"12th Ave BETWEEN Lincoln Way AND Irving St",-122.46958791,37.76483931
870,"12TH AVE BETWEEN MAGELLAN AVE AND TARAVAL ST",-122.46810326,37.74375386
